Shared		Tooltips		Strat		Quotes		Export_Buildings		Expanded	
				SMT_SHOW_CHARACTER_INFO	Show this character's information scroll						
				SMT_STATE_ICON_UPKEEP_NEW	Your armed forces' total running costs are divided up according to settlement size. This amount is being paid from here.						
				SMT_BY	By:						
				SMT_ON	On:						
				SMT_ALLY	Ally:						
				SMT_ENEMY	Enemy:						
				SMT_VICTORY_CONDITION_OUTLAST_SENATE	Destroy or outlast the Senate						
				SMT_GATES_OPEN_SETTLEMENT_ACTUAL	Your spies have infiltrated this settlement\nThe gates will be open when you attack						
				SMT_GATES_OPEN_FORT_ACTUAL	Your spies have infiltrated this fort\nThe gates will be open when you attack						
				SMT_DESERTED	Deserted						
				SMT_DIED_TRAGIC	Died tragically:						
				SMT_DIED_BATTLE	Died in battle:						
				SMT_DIED_ASSASSINATED	Assassinated:						
				SMT_EXECUTED	Executed:						
				SMT_BORN	Born:						
				SMT_DIED_PLAGUE	Died of the plague:						
				SMT_NEXT	Next:						
				SMT_1_YEAR_REMAINING	(1 year remaining)						
				SMT_X_YEARS_REMAINING	(%d years remaining)						
				SMT_SHOW_FACTION_LISTS	Show lists scroll						
				SMT_OCCUPY_SETTLEMENT	Occupy Settlement						
				SMT_RAZE_SETTLEMENT	Sack Settlement						
				SMT_VICTORY_CONDITION_HOLD_REGIONS_DESCR_1	Hold %d regions						
				SMT_VICTORY_CONDITION_HOLD_REGIONS_DESCR_2	, including:						
				SMT_VICTORY_CONDITION_HOLD_REGIONS_DESCR_3	. Eliminate factions:						
				SMT_KINGS_PURSE	King's Purse						
				SMT_DOMINANT_RELIGION	Dominant Religion:						
				SMT_BELIEFS	Religious Conversion Strengths						
				SMT_CURRENT_COMMITMENT	Current strength of belief:						
				SMT_PREDICTED_COMMITMENT	Predicted strength of belief:						
				SMT_ABANDON_SETTLEMENT	Abandon this settlement and become a horde						
				SMT_CANNOT_FIGHT_AT_NIGHT	This army cannot fight in night battles						
				SMT_TECH_TREE_THREAD_REQUIRES_TEMPLE_DESTRUCTION	Building this item requires the destruction of an existing religious building						
				SMT_SUPRESSES_RELIGIOUS_UNREST	Suppresses religious unrest:						
				SMT_SUPRESSES_RELIGIOUS_CONVERSION	Suppresses religious conversion:						
				SMT_LIVING_FACTIONS	Living Factions						
				SMT_CANNOT_ABANDON_SETTLEMENT_UNDER_SIEGE	Can only abandon this settlement when it isn't under siege						
				SMT_CANNOT_ABANDON_SETTLEMENT_NOT_LAST_SETTLEMENT	Can only abandon this settlement when it is your last						
				SMT_CANNOT_ABANDON_SETTLEMENT_ALREADY_ABANDONED	Your people are tired of constantly moving, and wish to stay settled for a while						
				SMT_CANNOT_ABANDON_SETTLEMENT_HORDE_UNITS	Cannot abandon this settlement as your horde armies cannot be mustered						
				SMT_CURRENT_CONVERSTION_STRENGTH	Current Conversion Strength: %d						
				SMT_PREDICTED_CONVERSION_STRENGTH	Predicted Conversion Strength: %d						
				SMT_PASSENGERS_CANT_BE_MOVED	This is the rankings admirals ship. He will not give up command while there are passengers on board that can't be transferred.						
				SMT_CANNOT_OCCUPY_SACKED_SETTLEMENT	This settlement has been sacked, and wouldn't make a good home for your people.						
				SMT_MEET_ENEMY	They are approaching the walls! Will you meet them on the battlefield or stay behind your fortifications?						
				SMT_ENEMY_MEETS_YOU	They have chosen to sally forth from their fortifications to meet your siege army on the battlefield!						
				SMT_MERCHANT_DESCR	Merchants are agents that work for their lord by establishing trade routes between distant foreign resources and their own local markets. Under the guise of private enterprise, merchants are able to move through enemy lands without drawing suspicion or committing a diplomatic transgression. When merchants work together so that they have a monopoly on a particular resource, they will generate extra income for their faction. Opposing merchants can attempt to make a hostile takeover of each other's assets, ending the other's career.						
				SMT_DIPLOMACY_OFFER_MARRY_LEADER_TO_PRINCESS	Marry faction leader to princess						
				SMT_DIPLOMACY_OFFER_MARRY_HEIR_TO_PRINCESS	Marry faction heir to princess						
				SMT_DIPLOMACY_OFFER_MARRY_LEADER	Marry princess to faction leader						
				SMT_DIPLOMACY_OFFER_MARRY_HEIR	Marry princess to faction heir						
				SMT_ACQUIRE	Acquisition						
				SMT_NO_ACQUISITION_TARGETS	No valid acquisition targets						
				SMT_DENOUNCE	Denouncement						
				SMT_NO_DENOUNCEMENT_TARGETS	There are no valid denouncement targets						
				SMT_RETIRED	Retired						
				SMT_MARRY_GENERALS	Marry a general within range						
				SMT_MARRIAGE	Marriage						
				SMT_MARRY	Marry selected General						
				SMT_RELIGION	Religion						
				SMT_NO_MARRIAGE_TARGETS	No unmarried generals within range						
				SMT_AGENT_LIMIT_REACHED	Agent limit reached						
				SMT_CAPABILITY_RELIGION_LEVEL	Religion Conversion Bonus:						
				SMT_CAPABILITY_RELIGION_LEVEL_AMPLIFIER	Amplifies the conversion effect of Orthodox churches by 						
				SMT_COLLEGE_OF_CARDINALS	The College of Cardinals						
				SMT_RANK	Title						
				SMT_EMPTY_SEATS	There are currently %d empty seats 						
				SMT_SHOW_COLLEGE_OF_CARDINALS	Show College of Cardinals						
				SMT_CASTLE	Castle						
				SMT_CONFIRM_CONVERT_SETTLEMENT	Converting settlement						
				SMT_CONVERT_CASTLE_TO_CITY_FOREVER	This castle will be irreversibly converted to a city.\nAre you sure?						
				SMT_CONVERT_CASTLE_TO_CITY	This castle will be converted to a city.\nAre you sure?						
				SMT_CONVERT_CITY_TO_CASTLE	This city will be converted to a castle.\nAre you sure?						
				SMT_RECRUITMENT_BUILDING_DAMAGED	Recruitment building damaged						
				SMT_SELECTED_UNITS	Selected units						
				SMT_SELECTED_UNIT_COST	Total recruitment cost: %d						
				SMT_RECRUITMENT_POOL_EMPTY	No more units of this type available for recruitment						
				SMT_RETRAIN_POOL_EMPTY	No more units of this type available for retraining						
				SMT_REPAIR_QUEUE	Buildings to be repaired						
				SMT_RETRAINING_QUEUE	Units available for retraining						
				SMT_CAPABILITY_FREE_UPKEEP	Number of Free Upkeep units: %d						
				SMT_FREE_UPKEEP	Free Upkeep while garrisoned						
				SMT_NO_PORT	No ports available to recruit maritime mercenaries						
				SMT_RECRUITMENT_NON_COAST	Can only recruit this unit from a coastal tile						
				SMT_CRUSADE_TARGETS_TITLE	Crusade Targets						
				SMT_JIHAD_TARGETS_TITLE	Jihad Targets						
				SMT_CRUSADE_TARGETS_BODY	Select target settlement from the list and click to request the Pope to commission a Crusade on the selected target. 						
				SMT_JIHAD_TARGETS_BODY	Select target settlement from the list and click to commission a Jihad against selected target.						
				SMT_CRUSADE_NO_TARGETS	There are no Crusade targets.						
				SMT_JIHAD_NO_TARGETS	There are no Jihad targets.						
				SMT_TURN_X	Turn %d						
				SMT_1_TURN_REMAINING	(1 turn remaining)						
				SMT_X_TURNS_REMAINING	(%d turns remaining)						
				SMT_RECRUITMENT_ORDER_FULL	Recruitment order currently full						
				SMT_PAPAL_ELECTION	Papal Election						
				SMT_PAPAL_ELECTION_RESULTS	Papal Election Results						
				SMT_STATE_ICON_RELIGIOUS_UNREST	Religious Unrest						
				SMT_THE_POPE	The Pope						
				SMT_POPES_NAME	%S of %S						
				SMT_POPES_DETAILS	Age: %d years old						
				SMT_PAPAL_STANDING	Papal Standing 						
				SMT_PAPAL_STANDING_DESCR	The more crosses a faction has, the more the Pope favours it. 						
				SMT_PAPAL_STANDING_0	His Holiness believes the flames of eternal damnation are too good for %S. 						
				SMT_PAPAL_STANDING_1	His Holiness hopes there is place amongst the flames of eternal damnation for %S.						
				SMT_PAPAL_STANDING_2	His Holiness will not suffer %S to be mentioned in his presence.						
				SMT_PAPAL_STANDING_3	His Holiness has found %S's faith wanting.						
				SMT_PAPAL_STANDING_4	His Holiness has little good to say about %S .						
				SMT_PAPAL_STANDING_5	His Holiness feels neither ill will or good will towards %S.						
				SMT_PAPAL_STANDING_6	His Holiness feels no ill will against %S.						
				SMT_PAPAL_STANDING_7	%S's faith satisfies his Holiness.						
				SMT_PAPAL_STANDING_8	%S's faith pleases his Holiness.						
				SMT_PAPAL_STANDING_9	%S's faith inspires his Holiness.						
				SMT_PAPAL_STANDING_10	In His Holiness' eyes %S's faith is an inspiration to all Christendom.						
				SMT_MISSIONS	Missions						
				SMT_MISSION_SOURCE	Source						
				SMT_MISSION_DESCRIPTION	Description						
				SMT_PRE_REWARD_MONEY	You will receive a reward of %d florins.						
				SMT_PRE_PENALTY_MONEY	You will have to pay a penalty of %d florins.						
				SMT_REWARD_MONEY	You have been rewarded with %d florins.						
				SMT_PENALTY_MONEY	You have been penalised %d florins.						
				SMT_PRE_PENALTY_INQUISITION	An Inquisition may occur in your provinces. 						
				SMT_PENALTY_INQUISITION	You must bear the scrutiny of an Inquisition.						
				SMT_PRE_PENALTY_EXCOMMUNICATION	You may be excommunicated.						
				SMT_PENALTY_EXCOMMUNICATION	You have been excommunicated.						
				SMT_PRE_REWARD_INCOME	You will be rewarded with %f %% of your income.						
				SMT_PRE_PENALTY_INCOME	You will be penalised by a loss of %f %% of your income. 						
				SMT_REWARD_INCOME	You have been rewarded with %d florins.						
				SMT_PENALTY_INCOME	You have been penalised %d florins.						
				SMT_PRE_REWARD_GUILD_MONEY	You will receive florins from the Guild.						
				SMT_PRE_PENALTY_GUILD_MONEY	You will have to pay a penalty of florins to the Guild.						
				SMT_REWARD_GUILD_MONEY	You have been rewarded with %d florins from the Guild.						
				SMT_PENALTY_GUILD_MONEY	You will have to pay a penalty of %d florins to the Guild.						
				SMT_PRE_PENALTY_ASSASSINATION	Some of your commanders may meet with sudden and terrible "fatal misfortunes".						
				SMT_PENALTY_ASSASSINATION	Some of your commanders have met with the long knives of "fatal misfortune". 						
				SMT_PRE_REWARD_BUILDABLE_UNIT	You will be rewarded with a military unit. 						
				SMT_PRE_REWARD_BUILDABLE_UNITS	You will be rewarded with some military units.						
				SMT_PRE_REWARD_BEST_BUILDABLE_UNIT	You will be rewarded with one of the best units currently available.						
				SMT_PRE_REWARD_BEST_BUILDABLE_UNITS	You will be rewarded with some of the best units currently available.						
				SMT_PRE_REWARD_BEST_FACTION_UNIT	PLACEHOLDER: reward pre exotic unit true_cost (%d)						
				SMT_PRE_REWARD_BEST_FACTION_UNITS	PLACEHOLDER: reward pre (%d) exotic units true_cost (%d)						
				SMT_REWARD_CANNOT_BUILD_A_UNIT	You cannot be rewarded as you cannot recruit any units						
				SMT_REWARD_UNITS_AT_YOUR_CAPITAL	You have been rewarded with %d units of %S at your capital.						
				SMT_MISSION-RETURN-PAPAL-SETTLEMENT-SUCCESS	You have greatly pleased His Holiness by successfully returning Rome to The Papal States.						
				SMT_MISSION_RETURN_PAPAL_SETTLEMENT_FAILURE	You have disappointed His Holiness by failing to return Rome to The Papal States.						
				SMT_MISSION_RETURN_PAPAL_SETTLEMENT_TITLE	Return Rome to the Papal States.						
				SMT_MISSION_RETURN_PAPAL_SETTLEMENT_PROPOSAL	The Pope has requested that you return Rome to The Papal States. His Holiness will be greatly in your debt if you can see fit to return his home city.						
				SMT_MISSION_JOIN_CRUSADE_TITLE	Join the Crusade						
				SMT_MISSION_JOIN_CRUSADE_SUCCESS	You have pleased the Pope and proven your faith by successfully joining the Crusade. 						
				SMT_MISSION_JOIN_CRUSADE_EXPIRED_FINISHED	The Crusade has ended; you can no longer join. 						
				SMT_MISSION_JOIN_CRUSADE_EXPIRED_DEATH	Your General has died. As a result, you can no longer join the Crusade.						
				SMT_MISSION_JOIN_CRUSADE_EXPIRED_EXCOMMUNICATED	Your faithless faction has been excommunicated. You have no place amongst the worthy; you can no longer join the Crusade.						
				SMT_MISSION_JOIN_CRUSADE_FAILURE	You have disappointed the Pope by not meeting your obligations to Christendom and failing to join the Crusade.						
				SMT_MISSION_JOIN_CRUSADE_HEIR_TITLE	Your Heir must join the Crusade.						
				SMT_MISSION_JOIN_CRUSADE_LEADER_TITLE	Your Leader must join the Crusade.						
				SMT_MISSION_JOIN_CRUSADE_CHARACTER_PROPOSAL	The Pope has requested that %S demonstrate his faith and personally join the Crusade.						
				SMT_MISSION_JOIN_CRUSADE_GENERAL_PROPOSAL	The Pope has called a holy Crusade, and the Pope has sent the call to arms to all devoted Catholic factions. You must create a Crusading army within the time limit to take part.						
				SMT_MISSION_BREAK_ALLIANCE_TITLE	Break Alliance						
				SMT_MISSION_BREAK_ALLIANCE_PROPOSAL	In uncertain times like these, it is important to know who one's true allies are. The Pope demands you break your alliance with this profane and heretical faction to prove your loyalty.						
				SMT_MISSION_BREAK_ALLIANCE_EXPIRY_DEATH	As this faction has perished, you are no longer required to break your alliance with them.						
				SMT_MISSION_BREAK_ALLIANCE_EXPIRY_EXCOMMUNICATED	Your faithless faction has been excommunicated. You are no longer required to break your alliance with this faction.						
				SMT_MISSION_BREAK_ALLIANCE_EXPIRY_RECOMMUNICATED	As this faction has returned to the fold and been reconciled, you are no longer required to break your alliance with them.						
				SMT_MISSION_BREAK_ALLIANCE_FAILURE	His Holiness can only wonder what went wrong; you have disappointed the Pope by failing to break your alliance with this faction. 						
				SMT_MISSION_BREAK_ALLIANCE_SUCCESS	You have pleased the Pope and proven your loyalty by successfully breaking your alliance with this faction.						
				SMT_MISSION_PAPAL_BLOCKADE_PORT_TITLE	Blockade Port						
				SMT_MISSION_PAPAL_BLOCKADE_PORT_PROPOSAL	The Pope only wishes that this prodigal son be returned to the fold. Perhaps cutting his income will make him see the light. Use your fleet to blockade this port for at least 3 turns.						
				SMT_MISSION_PAPAL_BLOCKADE_PORT_EXPIRY_SETTLEMENT_TAKEN	This settlement has been taken, you are no longer charged to blockade this port.						
				SMT_MISSION_PAPAL_BLOCKADE_PORT_EXPIRY_EXCOMMUNICATED	Your faithless faction has been excommunicated. You are no longer trusted to blockade this port.						
				SMT_MISSION_PAPAL_BLOCKADE_PORT_EXPIRY_RECOMMUNICATED	As this faction has returned to the fold and been reconciled, you are no longer charged to blockade this port.						
				SMT_MISSION_PAPAL_BLOCKADE_PORT_EXPIRY_BLOCKADED	This port is already blockaded, you are no longer charged to blockade this port.						
				SMT_MISSION_PAPAL_BLOCKADE_PORT_FAILURE	You have let down the Pope and the Almighty by unsuccessfully blockading this port.						
				SMT_MISSION_PAPAL_BLOCKADE_PORT_SUCCESS	You have pleased the Pope and the Lord by successfully blockading this port.						
				SMT_MISSION_ASSASSINATE_CARDINAL_TITLE	Assassinate Cardinal 						
				SMT_MISSION_ASSASSINATE_CARDINAL_PROPOSAL	This Cardinal's profanity and disrespect has deeply distressed His Holiness. The Pope assures you that God himself will smile upon you if you can deal with this delicate matter (kill him!).						
				SMT_MISSION_ASSASSINATE_CARDINAL_EXPIRY_DEATH	As this Cardinal has died, His Holiness has no need for you to 'deal' with him.						
				SMT_MISSION_ASSASSINATE_CARDINAL_EXPIRY_EXCOMMUNICATED	You have been excommunicated, His Holiness no longer trusts you with this important duty.						
				SMT_MISSION_ASSASSINATE_CARDINAL_EXPIRY_HIDING	This Cardinal cannot be found, His Holiness has no need for you to 'deal' with him.						
				SMT_MISSION_ASSASSINATE_CARDINAL_FAILURE	His Holiness is disquieted by your failure to 'deal' with this Cardinal.						
				SMT_MISSION_ASSASSINATE_CARDINAL_SUCCESS	You have done the Papacy a great favour, and much pleased His Holiness by successfully assassinating this Cardinal.						
				SMT_MISSION_ASSASSINATE_WITCH_TITLE	Assassinate the heretic						
				SMT_MISSION_ASSASSINATE_WITCH_PROPOSAL	This blasphemer is a stain on God's Earth and the Pope wishes you to cleanse it. Assassinate this person immediately!						
				SMT_MISSION_ASSASSINATE_WITCH_EXPIRY_DEATH	His Holiness has no need for you to assassinate this person, as they have perished.						
				SMT_MISSION_ASSASSINATE_WITCH_EXPIRY_EXCOMMUNICATED	Your faithless faction has been excommunicated; His Holiness does not trust the likes of you to uphold the Word of God. You are no longer charged with the assassination of this person.						
				SMT_MISSION_ASSASSINATE_WITCH_EXPIRY_HIDING	His Holiness has no need for you to assassinate this person, as they cannot be found.						
				SMT_MISSION_ASSASSINATE_WITCH_FAILURE	You have disappointed His Holiness by failing to assassinate this blasphemer as asked.						
				SMT_MISSION_ASSASSINATE_WITCH_SUCCESS	You have pleased His Holiness by successfully assassinating this blasphemer, and thus making the world more pleasing to His eye.						
				SMT_MISSION_CEASE_HOSTILITIES_TITLE	Cease Hostilities						
				SMT_MISSION_CEASE_HOSTILITIES_PROPOSAL	His Holiness demands that you stop shedding the blood of your fellow Christians. Cease hostilities against this faction immediately and do not carry out hostile acts for the duration of this mission.						
				SMT_MISSION_CEASE_HOSTILITIES_EXPIRY_DEATH	His Holiness is no longer concerned about the fate of this faction as it has been eliminated.						
				SMT_MISSION_CEASE_HOSTILITIES_EXPIRY_EXCOMMUNICATED	Your faithless and ignoble faction has been excommunicated, the Papacy no longer expects such as you to listen to the request of His Holiness.						
				SMT_MISSION_CEASE_HOSTILITIES_EXPIRY_TARGET_EXCOMMUNICATED	As this faction has been excommunicated, it matters little how much of their faithless blood you spill. You are no longer charged with ceasing hostilities with this faction.						
				SMT_MISSION_CEASE_HOSTILITIES_FAILURE	You have greatly saddened His Holiness by failing to cease hostilities with your fellow Christians, and continuing to shed the blood of your brother.						
				SMT_MISSION_CEASE_HOSTILITIES_SUCCESS	You have greatly pleased His Holiness by successfully ceasing hostilities with your fellow Christians and embracing your brother.						
				SMT_MISSION_PAPAL_BUILD_CHURCH_TITLE	Build a Church						
				SMT_MISSION_PAPAL_BUILD_CHURCH_PROPOSAL	It has come to His Holiness's attention that this settlement is bereft of a proper place of worship. The Pope wishes you to build a church in this settlement.						
				SMT_MISSION_PAPAL_BUILD_CHURCH_EXPIRY_LOST	As you have lost this settlement, you are no longer charged with building a church there.						
				SMT_MISSION_PAPAL_BUILD_CHURCH_EXPIRY_EXCOMMUNICATED	Your faithless faction has been excommunicated; the Pope cares naught what you build in this settlement.						
				SMT_MISSION_PAPAL_BUILD_CHURCH_FAILURE	You have disappointed His Holiness by failing to build a church in this settlement, and thus hampering the proper worship of the Lord in this settlement.						
				SMT_MISSION_PAPAL_BUILD_CHURCH_SUCCESS	You have pleased His Holiness by successfully building a church in this settlement, and thus propagating the proper worship of the Lord in this settlement.						
				SMT_MISSION_CONVERT_TITLE	Spread the Word of the Lord						
				SMT_MISSION_CONVERT_PROPOSAL	The Pope sees that the unbelievers in this settlement are clouding the judgement of the righteous. Send a priest to convert at least %d %% of the population to Catholicism.						
				SMT_MISSION_CONVERT_EXPIRY_EXCOMMUNICATED	Your ungodly faction has been excommunicated. One cannot expect a nest of vipers to bring forward the lambs. You are no longer charged with converting the people to the 'one true faith. 						
				SMT_MISSION_CONVERT_FAILURE	You have disappointed His Holiness by failing to convert sufficient people in this settlement.						
				SMT_MISSION_CONVERT_SUCCESS	You have pleased His Holiness by successfully spreading the word and bringing more lambs to His flock in this settlement.						
				SMT_MISSION_GIFT_FROM_POPE_TITLE	A Gift from the Pope						
				SMT_MISSION_GIFT_FROM_POPE_PROPOSAL	The Pope has noticed your dedication to the Faith and the Holy Mother Church and is pleased to grant you this gift.						
				SMT_MISSION_PAPAL_GIVE_CASH_TITLE	Give a "donation" to the Pope						
				SMT_MISSION_PAPAL_GIVE_CASH_PROPOSAL	The Lord favours he who is generous. Make a "donation" of at least %d florins to the Papal States. 						
				SMT_MISSION_PAPAL_GIVE_CASH_FAILURE	You have disappointed His Holiness with your selfishness, by failing to "donate" sufficient florins to the Papal States.						
				SMT_MISSION_PAPAL_GIVE_CASH_SUCCESS	You have pleased His Holiness with your generous "donation" to the Papal States. Blessed is he who gives.						
				SMT_MISSION_PAPAL_GIVE_ANCILLARY_TITLE	Give Relic to the Pope						
				SMT_MISSION_PAPAL_GIVE_ANCILLARY_PROPOSAL	The Pope has heard of your retrieval of this wondrous holy relic and sends his congratulations. You must hand over this relic to the Pope so that it may reside with his Holiness as is proper.						
				SMT_MISSION_PAPAL_GIVE_ANCILLARY_FAILURE	You have disappointed His Holiness by coveting this relic and thus failing to hand it over to His Holiness.						
				SMT_MISSION_PAPAL_GIVE_ANCILLARY_SUCCESS	The Pope sends you his gratitude for the rightful return of this holy relic to the Catholic Church.						
				SMT_MISSION_RECRUIT_PRIEST_TITLE	Recruit a Priest						
				SMT_MISSION_RECRUIT_PRIEST_PROPOSAL	The dwindling number of Catholics in this settlement reflects poorly on the Catholic Church. Recruit a priest in this settlement to convert more people.						
				SMT_MISSION_RECRUIT_PRIEST_EXPIRY_LOST	You have lost this settlement, you are no longer charged with recruiting a priest.						
				SMT_MISSION_RECRUIT_PRIEST_EXPIRY_EXCOMMUNICATED	Your worthless faction has been excommunicated, a priest from such a flock would be at best worthless. You are no longer charged with recruiting a priest.						
				SMT_MISSION_RECRUIT_PRIEST_FAILURE	You have disappointed His Holiness by failing to recruit a priest, and thus hampering His Holy work.						
				SMT_MISSION_RECRUIT_PRIEST_SUCCESS	You have pleased His Holiness by successfully recruiting a priest, and thus creating yet another vessel for His word.						
				SMT_MISSION_ASSASSINATE_GENERAL_TITLE	Assassination Mission						
				SMT_MISSION_ASSASSINATE_GENERAL_PROPOSAL	This miscreant's demise would please a great many people, not to mention make smoother our path to success. The Council suggests you send an assassin to hasten this man's journey into the next world. 						
				SMT_MISSION_ASSASSINATE_GENERAL_EXPIRY_DEATH	Your target has died; you are no longer required to assassinate him.						
				SMT_MISSION_ASSASSINATE_GENERAL_EXPIRY_ALLIED	This man has become our ally; it is no longer necessary to remove him.						
				SMT_MISSION_ASSASSINATE_GENERAL_EXPIRY_HIDING	Your target has gone into hiding; you are no longer required to assassinate him.						
				SMT_MISSION_ASSASSINATE_GENERAL_FAILURE	You have failed to assassinate this individual; the Council assumes this must be part of your great plan.						
				SMT_MISSION_ASSASSINATE_GENERAL_SUCCESS	Congratulations, you have successfully assassinated this individual; the Council is impressed by your ruthlessness.						
				SMT_MISSION_COUNCIL_BLOCKADE_PORT_TITLE	Blockade Port 						
				SMT_MISSION_COUNCIL_BLOCKADE_PORT_PROPOSAL	It is time we apply pressure upon our foes. Sending a fleet to blockade this port for at least 3 turns will not only hurt our enemy, but it will fill our coffers.						
				SMT_MISSION_COUNCIL_BLOCKADE_PORT_EXPIRY_SETTLEMENT_TAKEN	This port has been taken; you are no longer expected to blockade it.						
				SMT_MISSION_COUNCIL_BLOCKADE_PORT_EXPIRY_ALLIED	This faction has become an ally; you are no longer required to blockade this port.						
				SMT_MISSION_COUNCIL_BLOCKADE_PORT_EXPIRY_BLOCKADED	It appears this port is already blockaded; you are no longer required to blockade it.						
				SMT_MISSION_COUNCIL_BLOCKADE_PORT_FAILURE	You have not blockaded this port, the Council bows to your infinitely wiser decision.						
				SMT_MISSION_COUNCIL_BLOCKADE_PORT_SUCCESS	Congratulations, you have successfully blockaded this port; the Council applauds your decisiveness.						
				SMT_MISSION_COUNCIL_TAKE_REBEL_SETTLEMENT_TITLE	Take Rebel Settlement						
				SMT_MISSION_COUNCIL_TAKE_REBEL_SETTLEMENT_PROPOSAL	Our great nation appears weak to tolerate such insolence from these rebels. The Council recommends you capture this rebel settlement and assert your authority.						
				SMT_MISSION_COUNCIL_TAKE_REBEL_SETTLEMENT_EXPIRY_LOST	Another has taken this Rebel settlement. You are no longer required to take it.						
				SMT_MISSION_COUNCIL_TAKE_REBEL_SETTLEMENT_FAILURE	It appears you have decided against this Council's advice by not taking this Rebel settlement, the Council can only assume this yet another layer of your labyrinth like plan.						
				SMT_MISSION_COUNCIL_TAKE_REBEL_SETTLEMENT_SUCCESS	Congratulations, you have successfully taken this Rebel settlement and displayed our strength to all.						
				SMT_MISSION_COUNCIL_TAKE_SETTLEMENT_TITLE	Take Settlement						
				SMT_MISSION_COUNCIL_TAKE_SETTLEMENT_PROPOSAL	It is time to further our great empire by extending our borders. The Council suggests you take this settlement for the glory of the nation.						
				SMT_MISSION_COUNCIL_TAKE_SETTLEMENT_EXPIRY_LOST	Another has taken this settlement.						
				SMT_MISSION_COUNCIL_TAKE_SETTLEMENT_EXPIRY_ALLIED	This faction has become an ally; you are no longer required to take it.						
				SMT_MISSION_COUNCIL_TAKE_SETTLEMENT_FAILURE	You have failed to take this settlement; perhaps you felt it was not the right time to expand our borders?						
				SMT_MISSION_COUNCIL_TAKE_SETTLEMENT_SUCCESS	Congratulations, you have successfully taken this settlement, and extended our Empire.						
				SMT_MISSION_GUILD_TAKE_SETTLEMENT_TITLE	Take Settlement						
				SMT_MISSION_GUILD_TAKE_SETTLEMENT_PROPOSAL	The Guild's interests would be better looked after if this settlement were to become part of your empire. The Guild requests that you take this settlement.						
				SMT_MISSION_GUILD_TAKE_SETTLEMENT_EXPIRY_LOST	Another has taken this settlement, the Guild no longer requires you to take it.						
				SMT_MISSION_GUILD_TAKE_SETTLEMENT_EXPIRY_ALLIED	An alliance has been forged with this settlement, the Guild no longer requires you to take it.						
				SMT_MISSION_GUILD_TAKE_SETTLEMENT_FAILURE	You have failed to take this settlement; the Guild is disappointed with this lack of progress.						
				SMT_MISSION_GUILD_TAKE_SETTLEMENT_SUCCESS	Congratulations, you have successfully taken this settlement; the Guild owes you its thanks.						
				SMT_MISSION_GUILD_RECRUIT_AGENT_TITLE	Train Assassin						
				SMT_MISSION_GUILD_RECRUIT_AGENT_PROPOSAL	Sometimes a single drop of poison or one knife in the dark can achieve what an entire army cannot. The Guild requests that you train an assassin in this settlement.						
				SMT_MISSION_GUILD_RECRUIT_AGENT_EXPIRY_LOST	As you have lost this settlement, the Guild no longer expects you to train an assassin there.						
				SMT_MISSION_GUILD_RECRUIT_AGENT_FAILURE	You have failed to train an assassin; the Guild is disappointed with this result.						
				SMT_MISSION_GUILD_RECRUIT_AGENT_SUCCESS	Congratulations, you have successfully trained an assassin, the Guild is very pleased.						
				SMT_MISSION_GIFT_FROM_COUNCIL_TITLE	A Gift from the Council						
				SMT_MISSION_GIFT_FROM_COUNCIL_PROPOSAL	The Council are greatly impressed by your leadership and would like you to accept this humble offering as a token of past and future endeavours.						
				SMT_MISSION_COUNCIL_MARRY_PRINCESS_TITLE	A Proposal for the Princess's Hand						
				SMT_MISSION_COUNCIL_MARRY_PRINCESS_PROPOSAL	Lord %S has been beguiled by the lovely Princess %S. He is willing to pay a handsome dowry for her hand in marriage. The Council recommends you arrange this marriage as soon as possible.						
				SMT_MISSION_COUNCIL_MARRY_PRINCESS_EXPIRY_GENERAL_DEATH	Alas this marriage can never be, the general has died, and nearly left our Princess a widow.						
				SMT_MISSION_COUNCIL_MARRY_PRINCESS_EXPIRY_PRINCESS_DEATH	Alas, the poor Princess has died; we must call the marriage off.						
				SMT_MISSION_COUNCIL_MARRY_PRINCESS_EXPIRY_TARGET_MARRIED	Love can be a fickle thing, and this lord is twice such, he has married another. The marriage to our Princess is off.						
				SMT_MISSION_COUNCIL_MARRY_PRINCESS_FAILURE_PRINCESS_MARRIED	Love can be a fickle thing, it seems our Princess has married another, the original marriage is off.						
				SMT_MISSION_COUNCIL_MARRY_PRINCESS_EXPIRY_PRINCESS_RETIRED	Our Princess is now too old to marry; her time would be better spent on more solitary and contemplative pursuits. The marriage is off.						
				SMT_MISSION_COUNCIL_MARRY_PRINCESS_FAILURE	You have not arranged the marriage this Council recommended. The Council bows to your greater judgement in these matters.						
				SMT_MISSION_COUNCIL_MARRY_PRINCESS_SUCCESS	Congratulations, you have successfully arranged the marriage we recommended. This union is sure to bear fruit in time.						
				SMT_MISSION_ACQUISITION_TITLE	Mercantile Acquisition						
				SMT_MISSION_ACQUISITION_PROPOSAL	There is lucrative trade to be had here, but first we must deal with the opposition. The Guild recommends you send your merchant to make an acquisition of this merchants' trade. 						
				SMT_MISSION_ACQUISITION_EXPIRY_DEATH	It appears this merchant has perished; we no longer need to remove him.						
				SMT_MISSION_ACQUISITION_EXPIRY_HIDING	It appears this merchant has gone into hiding; we no longer need to remove him. 						
				SMT_MISSION_ACQUISITION_FAILURE	You have failed to complete the desired acquisition; the Guild is disappointed with this outcome. 						
